;bonzjcpcsw;apfdqnuvia;pktkiaimru;hoddupqckr;txnwytfvwx;randasgnuw;mlhnsssmav;uvodhibkxv;fbtpqayevl;xkuaybwmuv;zolpnvugxb;ksqxsyqubc;qtxypuehvz;ymgvruhtgg;klcfxrgufk;pverkuihiu;mnbprjkfyf;piezgilpcm;qqqaafllty;lsgzbmtviq;hjwhxwbdyl;odfjoeldsj;sefkvcwcuk;iqejuldizn;zotpvjrzld;doafdnjirt;yvrsmclezw;lbpazoqsys;kqzjrefbto;pztfbqycfb;mpompiyysw;tqvyreubzr;jaobmemtvi;ouomoxfdks;kxvzrtnzxl;hohsalzdma;fcdzgkqenu;zxkshqfnfr;aqzbcbsltr;xxywhvlbgr;qlwgtlhuxq;ybzunecfuw;tuxbwsmyle;offjcfmrrl;gquerqohqp;rixwjdrrao;hgamoqiubf;cgtewbqqlr;qujzrcphgy;wqncygzvxx;uynsvkwhho;okmtesfmoo;mfjadfwjbb;nfjvtzgwix;ndvixljtzz;nbwilsslbi;rsiciiiadk;rsiguvdkga;jkyfplihil;maedzopygg;oysgmztqqb;mnppusukkr;cspeidakyq;cjepnhxkgk;fkyrxlekpm;mgmdswmihq;dbbkwjmxwm;uoffnmpjsw;zvxaytdxqg;meisfgzuoq;qnumhyegwc;ukghxgueou;zkwlexaigo;zxanszcdwk;zhhcsiucql;zljvstsvyf;llldzgquyl;jyopoiubxg;gxpjptiiid;vprglzften;eaboctxegy;shxbibsblz;nsxcgbwbwu;czoaezqfqa;osflderbjn;xspfvlraal;qyubttsxwi;cazqzodnpq;vsexokntld;tvcgzxahbi;vvgqshfnhw;ivnwpatmol;jewiapfokf;npnfaigipa;bkzwssnugl;nktmbxflzt;pzjiapfewh;btuwjiznwv;ipgsqssxrf;etoxrtkhsg
jkyfplihil;7;4;0;5;1;3;0;1;0;0;0;0;2;6;0;0;0;0;2;1;2;0;0;0;2;0;0;2;0;0;0;8;7;0;9;3;2;0;0;0;8;0;3;0;0;4;4;3;1;2;0;0;3;0;0;0;2;7;0;0;8;9;0;1;0;5;0;0;8;2;0;7;5;0;0;4;8;0;2;2;9;0;9;0;0;0;0;0;0;4;0;0;7;8;7;0;2;8;0;0;
maedzopygg;2;0;0;0;0;6;3;0;0;0;0;0;1;0;0;1;0;9;0;0;0;0;0;8;4;9;4;4;0;2;0;5;6;7;1;2;7;0;0;0;0;7;0;1;4;7;0;7;5;0;2;0;0;3;9;0;0;0;5;3;0;3;0;9;8;0;4;0;7;8;6;6;9;0;2;4;0;0;9;5;6;1;0;0;0;0;0;5;3;0;3;9;6;7;5;0;0;0;9;5;
oysgmztqqb;6;0;3;5;9;0;2;0;8;0;0;0;0;3;0;3;0;0;2;1;0;7;4;0;0;3;9;0;0;3;5;6;0;3;0;0;0;0;7;0;0;2;2;4;0;6;0;0;2;0;0;1;8;4;6;3;2;0;3;5;0;5;3;5;2;0;7;1;0;8;2;0;0;2;0;3;0;1;0;0;3;6;2;0;0;9;5;0;0;5;0;4;1;9;0;5;0;1;0;0;
mnppusukkr;0;2;5;4;7;0;6;7;7;5;4;5;0;3;6;0;0;8;2;0;9;0;6;0;8;5;0;6;0;1;0;0;0;0;0;0;0;3;4;9;3;0;4;0;0;9;0;6;9;5;0;0;0;4;9;0;0;6;1;0;0;1;1;0;1;0;3;1;5;0;2;0;0;2;8;7;0;8;0;0;0;0;0;6;0;0;4;5;0;0;0;0;0;9;9;4;6;0;1;0;
cspeidakyq;5;1;0;0;0;6;0;0;2;4;0;0;0;3;7;0;4;0;0;0;0;3;7;3;7;0;6;0;0;7;1;1;0;7;0;0;0;9;0;0;5;0;0;2;9;2;0;0;0;0;0;0;3;0;4;0;0;5;0;5;0;0;0;0;9;6;0;0;3;0;0;6;0;7;1;0;0;7;0;7;0;0;8;8;0;7;8;9;0;0;9;9;0;0;0;0;0;4;0;2;
cjepnhxkgk;0;4;3;1;0;7;0;0;0;3;0;0;0;1;7;4;0;8;6;9;0;0;0;0;0;0;0;0;1;0;2;0;0;4;0;1;5;0;5;2;0;0;0;0;0;0;7;0;8;4;9;0;0;0;6;7;9;8;5;8;5;3;0;0;0;0;5;7;0;0;0;0;0;4;4;0;0;0;0;1;5;2;7;0;8;0;4;0;7;0;0;0;4;3;0;3;8;0;0;0;
fkyrxlekpm;6;0;0;1;0;3;0;0;0;6;5;0;8;0;0;2;0;6;0;2;0;0;2;5;5;1;0;4;4;0;0;7;0;6;0;7;1;0;0;0;5;8;3;0;7;8;8;8;0;0;5;2;1;0;2;0;6;4;0;9;6;8;8;5;0;2;6;7;0;6;8;0;9;0;0;3;0;0;0;6;5;0;0;4;6;9;0;9;3;0;0;0;0;9;0;0;0;2;1;3;
mgmdswmihq;8;0;0;0;1;8;8;4;0;0;0;1;0;0;1;5;6;4;0;6;0;0;6;5;0;8;5;0;3;0;0;0;0;0;8;9;0;7;6;0;3;7;7;0;5;0;7;8;0;0;2;5;9;0;4;2;0;0;7;0;4;3;0;5;0;5;0;4;3;5;6;0;1;0;6;9;0;3;5;0;3;4;0;5;0;0;4;0;1;0;0;0;0;4;5;0;0;6;0;0;
dbbkwjmxwm;3;3;0;0;0;8;0;3;0;0;0;0;5;3;0;0;0;5;5;0;0;0;9;0;6;6;0;8;7;0;5;0;0;0;0;0;5;0;0;0;0;1;0;7;1;0;9;5;8;0;6;0;6;8;0;0;0;3;0;0;0;2;4;1;8;7;8;1;5;8;4;3;1;0;4;3;0;0;7;0;0;5;4;6;0;5;9;5;0;3;6;0;0;0;6;0;0;0;0;0;
uoffnmpjsw;9;6;0;7;0;0;0;2;1;0;4;9;4;6;0;6;0;0;0;0;8;0;0;3;7;0;9;0;0;0;0;2;5;0;0;0;5;5;3;0;7;8;4;0;9;7;0;5;0;5;0;0;0;5;2;7;0;0;9;0;0;6;0;7;5;7;8;0;0;6;8;0;5;9;0;0;0;8;9;0;0;9;1;4;3;8;0;6;0;0;0;6;0;0;0;0;0;0;2;1;
zvxaytdxqg;6;5;0;0;8;3;7;0;0;6;0;0;1;0;6;0;0;3;0;7;8;0;8;1;0;3;0;0;8;0;0;1;0;9;0;8;5;5;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;3;0;0;0;4;0;8;0;4;0;0;0;5;0;0;5;0;7;0;9;0;0;0;0;0;4;0;0;4;0;0;2;0;0;0;8;6;0;0;5;0;0;5;4;0;3;6;
meisfgzuoq;1;0;0;4;0;0;0;2;0;0;1;0;5;0;0;0;2;0;0;0;9;5;4;3;7;0;8;0;3;0;0;0;5;3;4;1;6;0;7;0;5;0;0;0;0;0;4;0;0;0;5;3;8;0;5;0;0;0;5;0;0;0;0;8;7;0;0;0;8;9;0;8;0;0;1;0;5;0;6;6;0;9;0;5;0;5;2;7;4;0;5;0;0;3;6;0;0;0;0;0;
qnumhyegwc;0;0;0;0;6;5;0;0;1;5;5;6;0;6;5;5;0;6;4;1;0;9;1;0;8;0;0;4;7;8;5;2;0;5;0;7;3;0;0;2;0;0;0;5;0;0;6;0;0;0;9;0;3;0;0;3;1;9;5;6;8;0;0;0;0;0;0;0;5;0;9;1;0;8;7;0;5;7;0;3;2;2;7;0;5;0;0;1;6;0;9;3;8;0;0;0;0;7;0;0;
ukghxgueou;0;0;0;0;0;5;4;7;1;0;1;0;0;0;0;0;0;0;0;2;5;6;3;0;0;0;9;5;2;4;2;2;7;0;5;0;0;0;1;2;4;0;4;4;0;2;9;0;0;3;0;0;4;8;5;8;0;0;1;0;0;0;7;5;0;0;1;0;0;6;0;0;0;3;0;0;1;0;0;1;4;2;0;2;0;5;6;2;7;1;6;0;2;0;0;0;0;4;0;0;
zkwlexaigo;7;0;0;2;0;2;6;0;5;8;9;1;0;6;7;0;9;8;1;4;5;0;0;6;6;2;0;0;0;0;1;0;0;1;8;0;0;0;8;0;2;0;3;0;4;8;8;8;7;4;2;0;4;9;0;0;8;3;9;6;0;8;0;0;7;0;0;0;0;6;0;0;4;0;0;3;2;8;9;0;0;0;0;0;0;7;9;9;9;0;5;0;9;1;0;1;0;0;4;4;
zxanszcdwk;8;9;9;0;7;0;0;0;0;2;0;6;0;1;8;3;8;0;3;0;8;0;9;3;0;0;7;0;0;0;3;7;0;1;0;8;0;5;9;7;9;7;4;4;0;1;4;7;7;3;7;0;7;0;0;5;0;7;0;5;0;7;0;0;8;5;8;0;8;5;0;0;1;9;0;0;1;3;6;9;0;7;0;1;0;0;0;0;0;3;3;4;7;4;6;0;0;0;0;0;
zhhcsiucql;0;9;0;3;5;0;8;0;0;2;0;0;8;0;4;4;4;4;0;0;0;0;3;0;0;8;7;2;0;5;0;6;0;0;0;0;0;0;5;1;2;0;9;2;4;5;2;6;2;2;1;4;0;4;6;0;0;7;0;0;7;1;8;0;8;0;4;4;3;0;0;0;1;1;3;0;9;0;6;0;7;0;0;0;2;5;8;1;9;2;7;4;9;0;5;8;8;0;2;0;
zljvstsvyf;2;0;9;2;0;4;6;4;0;9;0;3;3;3;0;0;8;0;0;0;2;0;0;0;6;0;0;2;6;0;3;3;0;0;4;4;0;0;0;8;7;3;0;5;2;0;0;3;8;3;8;0;0;0;0;0;3;5;0;0;0;6;5;7;0;7;9;8;0;0;5;0;9;8;6;0;0;7;6;8;6;0;8;9;9;1;3;0;0;0;0;1;3;0;2;8;0;1;9;0;
llldzgquyl;5;0;5;2;0;4;4;8;6;0;0;6;0;6;0;0;0;8;0;0;0;0;4;9;0;8;0;0;2;1;0;0;1;9;3;9;2;6;0;1;2;0;7;0;8;0;0;9;6;7;0;0;9;4;5;0;6;0;3;1;1;8;0;0;6;8;0;0;0;3;0;0;0;9;3;5;9;0;0;0;0;2;0;2;4;0;7;0;2;5;0;0;0;1;0;5;0;0;7;0;
jyopoiubxg;0;0;6;0;1;8;3;0;0;0;0;6;4;5;1;3;0;2;6;4;9;2;1;0;0;0;3;0;6;0;5;0;0;7;0;0;9;1;0;0;0;0;0;4;1;0;0;0;4;4;0;8;1;0;0;8;0;9;0;1;6;0;0;6;0;1;0;8;0;0;0;6;0;0;0;0;0;3;4;3;0;0;0;0;0;0;6;0;0;7;5;0;0;0;0;0;7;0;0;3;
gxpjptiiid;9;0;0;9;0;0;0;0;0;0;0;0;0;0;0;6;0;3;0;0;0;1;0;7;0;0;0;9;1;3;2;1;1;9;0;5;0;0;0;4;0;6;4;0;0;0;0;0;8;7;0;0;9;0;5;0;8;0;0;0;0;5;0;0;0;0;0;7;0;0;0;0;5;2;0;0;8;1;4;8;0;3;0;5;0;7;4;0;0;0;3;0;0;0;4;7;7;1;0;0;
vprglzften;3;1;1;0;7;0;0;1;0;0;0;0;8;4;0;0;6;0;3;5;0;6;0;0;0;2;8;0;0;0;7;8;1;0;0;7;0;6;3;0;9;7;3;1;0;6;6;2;0;0;0;0;0;6;3;0;4;9;3;2;0;0;4;6;4;4;0;2;6;0;0;0;9;0;0;0;0;0;4;0;0;0;0;0;1;0;0;5;7;5;0;9;3;0;4;0;3;1;4;1;
eaboctxegy;9;0;0;0;0;0;2;3;0;3;0;0;0;1;0;0;0;0;8;0;5;0;0;0;9;2;0;3;4;8;0;0;7;8;0;4;0;0;6;0;3;0;5;0;0;8;0;4;3;1;0;5;2;4;9;2;0;0;7;3;0;7;0;1;0;2;0;2;4;1;0;0;4;0;0;9;3;4;0;6;0;0;0;0;3;0;0;3;6;4;8;6;2;0;3;5;7;3;4;0;
shxbibsblz;8;0;8;5;1;4;0;0;3;7;1;1;9;1;3;0;2;8;0;9;0;4;0;9;8;4;9;5;6;0;9;5;0;9;0;0;0;0;0;0;2;3;0;0;0;0;3;0;3;2;0;9;5;1;9;7;0;9;0;6;5;2;7;0;0;0;0;0;6;5;0;0;5;0;0;7;9;0;3;9;1;3;0;2;0;4;0;0;4;0;0;3;2;2;7;3;2;0;0;8;
nsxcgbwbwu;2;2;2;0;0;0;0;5;0;0;0;8;0;5;7;0;0;0;0;0;0;0;1;7;9;1;0;6;2;0;1;2;9;9;0;4;0;5;0;4;0;9;9;3;0;8;0;0;8;0;7;0;0;9;0;5;3;0;0;3;0;0;2;7;0;0;2;7;0;2;5;0;0;0;0;0;0;8;0;3;0;0;5;9;7;0;0;0;2;1;9;3;0;5;0;7;0;5;0;2;
czoaezqfqa;1;4;0;0;2;0;1;0;0;9;0;1;1;9;1;4;8;5;0;0;0;4;0;0;7;7;8;0;0;9;0;3;0;0;4;0;9;7;0;0;8;0;8;0;0;0;8;6;0;1;0;6;0;1;8;3;3;8;0;8;0;1;0;0;0;6;0;0;1;0;0;3;5;7;2;0;7;2;2;0;0;4;6;1;0;0;4;4;0;0;8;0;0;0;5;0;0;0;6;4;
osflderbjn;8;0;8;8;0;0;0;0;1;0;0;5;5;0;6;0;0;0;6;0;0;0;9;8;7;0;5;6;7;0;2;0;0;0;8;7;0;1;3;3;3;1;3;1;0;0;5;0;0;0;5;2;0;4;0;4;1;3;0;0;0;3;3;4;0;0;0;6;0;0;0;4;0;0;0;8;0;0;0;1;0;7;9;1;0;8;3;8;0;0;7;3;5;0;5;0;0;0;0;0;
xspfvlraal;8;6;1;0;4;5;0;0;0;2;4;3;0;0;2;0;0;0;9;0;0;7;3;6;7;9;4;0;0;0;0;0;1;0;0;7;5;6;5;1;0;1;4;4;3;4;0;7;0;0;0;2;0;0;7;0;0;3;2;5;0;0;0;2;6;0;0;1;0;7;0;2;4;3;0;1;8;0;4;0;0;1;1;0;0;0;0;0;2;4;1;8;7;0;0;6;0;0;1;4;
qyubttsxwi;1;0;4;0;4;0;0;0;9;1;1;2;0;1;2;5;0;5;2;0;0;0;0;6;0;0;6;8;0;5;4;5;0;0;0;0;1;0;8;1;1;2;2;6;0;4;7;7;4;4;0;6;0;4;9;2;7;0;4;9;0;0;0;0;0;0;0;7;0;3;0;0;6;3;2;5;0;4;0;5;0;1;0;0;0;8;8;8;4;2;0;9;0;8;2;0;2;0;0;0;
cazqzodnpq;0;0;9;7;0;0;5;0;0;3;0;4;0;0;6;5;0;0;9;2;0;0;0;9;5;0;1;9;0;0;5;1;5;0;8;5;0;1;0;0;6;0;0;8;0;3;0;5;4;5;9;6;8;0;0;0;6;0;5;0;0;3;1;0;5;9;0;0;7;8;3;5;0;0;0;6;0;5;4;6;0;0;1;0;7;5;0;0;0;3;7;3;0;0;4;7;8;0;8;2;
vsexokntld;1;0;9;0;0;0;0;6;9;1;8;0;2;3;0;0;7;4;0;0;0;0;5;9;8;0;1;0;4;8;1;0;0;0;8;4;7;0;1;0;5;6;6;6;0;1;3;2;9;0;0;7;7;1;0;0;0;3;0;0;0;0;0;0;0;0;6;0;1;1;4;1;6;1;0;0;0;2;0;0;0;0;4;3;6;5;6;0;2;2;3;0;0;0;0;0;3;3;0;0;
tvcgzxahbi;3;0;0;0;9;2;0;0;5;0;0;6;6;0;6;3;0;5;0;1;4;4;0;8;0;3;4;0;0;9;0;0;0;4;0;9;4;0;1;0;9;3;0;3;0;0;5;0;0;0;4;0;8;0;9;3;4;3;9;9;9;6;0;0;0;6;2;6;0;0;0;0;0;4;0;0;0;0;0;3;4;0;8;5;1;0;5;0;7;3;0;8;0;0;7;0;3;5;1;0;
vvgqshfnhw;0;0;2;7;0;0;0;0;0;0;0;6;5;4;0;6;0;5;0;0;0;0;4;4;3;0;0;5;0;9;0;9;6;3;2;7;3;0;8;0;0;1;0;5;0;2;8;0;8;0;0;1;0;7;0;3;0;4;1;0;6;8;7;0;0;0;7;0;0;0;0;0;0;7;0;0;2;0;0;0;2;6;0;7;7;0;7;4;6;9;0;0;7;0;0;6;0;0;0;0;
ivnwpatmol;0;3;8;0;6;0;0;9;0;0;0;0;0;0;9;0;0;0;0;3;0;0;0;0;6;0;9;0;4;0;0;9;0;0;0;0;9;0;8;0;3;0;0;9;0;0;0;0;0;6;8;0;0;0;0;8;0;7;1;3;8;9;0;0;0;0;0;1;0;0;0;1;6;7;0;4;5;0;0;0;8;2;7;5;0;4;0;3;0;0;9;4;6;1;5;3;1;0;0;8;
jewiapfokf;0;3;5;5;6;0;0;6;0;0;0;7;8;4;0;6;0;0;0;7;7;0;0;8;5;6;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;3;1;0;0;7;0;0;3;0;0;2;0;0;4;3;4;0;6;0;0;9;6;0;6;0;0;0;4;8;2;0;5;3;1;6;0;0;6;1;2;3;0;
npnfaigipa;0;4;1;5;0;0;2;0;0;0;0;3;0;0;5;0;6;0;7;0;0;2;2;0;8;0;9;0;9;0;1;9;2;0;6;4;9;0;0;8;3;0;8;0;3;7;1;2;6;0;0;0;4;4;6;0;3;3;9;0;3;2;9;0;7;0;0;2;0;0;7;0;0;0;6;3;3;4;0;7;0;7;8;6;3;0;0;9;0;0;2;1;0;5;2;3;7;0;5;7;
bkzwssnugl;0;9;1;0;0;0;0;3;3;8;0;0;3;0;0;0;0;6;0;0;0;0;8;4;0;7;0;1;0;8;2;9;2;9;1;3;0;6;0;6;0;0;5;5;0;0;7;0;0;0;0;0;0;0;9;6;0;1;5;3;7;4;5;2;0;0;0;0;0;9;3;0;0;0;3;3;8;6;3;0;0;9;8;0;3;0;3;4;0;0;0;9;4;4;0;4;0;5;9;9;
nktmbxflzt;0;7;0;0;0;4;2;0;0;3;0;0;9;0;7;6;8;2;4;0;4;0;0;2;6;0;0;0;0;0;4;7;0;0;1;5;0;0;6;7;0;0;1;4;6;0;0;0;0;0;1;8;0;0;9;0;0;9;0;5;3;0;0;0;8;0;0;3;0;7;4;4;5;6;9;0;9;8;0;0;0;0;0;5;3;0;4;9;0;4;4;0;1;0;4;0;7;0;3;0;
pzjiapfewh;9;3;0;0;5;0;6;3;0;5;1;7;0;0;9;0;8;0;0;1;7;0;9;0;5;0;6;3;7;0;6;0;2;0;1;4;2;0;4;0;0;9;0;0;6;2;0;0;3;7;6;0;3;4;0;0;0;0;0;1;0;0;0;0;0;0;0;8;0;3;0;4;4;0;0;4;0;3;0;6;7;5;0;0;0;6;0;1;4;4;9;2;3;0;9;4;7;0;0;0;
btuwjiznwv;9;0;0;8;6;5;0;6;0;0;5;0;3;8;0;0;0;1;8;0;0;0;3;2;8;9;0;8;0;9;8;4;0;3;0;4;0;7;9;2;3;0;6;7;0;0;4;7;7;0;8;3;0;8;6;0;8;0;0;9;0;0;6;0;0;7;2;8;0;7;9;6;3;3;0;0;2;0;0;5;0;1;0;0;0;6;3;0;6;8;6;2;9;4;0;0;0;0;5;9;
ipgsqssxrf;0;0;6;0;0;6;7;6;7;5;5;9;0;0;0;1;0;0;1;4;2;0;0;6;2;0;0;0;2;3;0;0;0;0;6;0;8;7;0;0;3;0;3;2;2;3;0;7;0;0;0;0;1;5;4;0;0;0;0;0;0;0;7;0;0;5;0;0;1;0;1;8;0;0;0;0;0;0;2;8;0;2;0;0;0;4;0;0;1;0;8;0;0;0;3;0;7;0;0;0;
etoxrtkhsg;0;0;0;5;8;0;0;0;5;1;1;0;0;4;3;7;0;0;8;2;0;5;3;2;0;4;0;0;0;4;9;0;6;0;0;1;3;5;0;5;7;0;9;0;6;0;6;0;4;2;0;8;9;7;1;1;5;0;0;0;0;2;0;0;0;0;6;0;9;5;0;0;4;0;0;3;1;0;3;0;3;2;0;0;7;0;5;0;0;3;1;9;5;6;0;2;0;1;8;0;
